ID,Штрихкод,Бренд,Название,Категория,Размер,Цвет,L1,💰 Стоимость,🔵 Артикул Ozon,🟣 Артикул WB,🟣 nm_id,🟡 Остаток сайт (109 / 240),🟣 Остаток WB (129 / 161 / 240),🔵 Остаток Ozon (98 / 143 / 240),📊 Общий остаток,🟣 Заказы WB 14д,🟣 Заказы WB 28д,🟣 Заказы WB 40д,🔵 Заказы Ozon 14д,🔵 Заказы Ozon 28д,🔵 Заказы Ozon 40д,📊 Всего заказов 14д,📊 Всего заказов 28д,📊 Всего заказов 40д,🟣 Выкупы WB 14д (T-21..-7),🔵 Выкупы Ozon 14д (T-21..-7),📊 % выкупа 14д,🟣 Выручка WB 28д,🔵 Выручка Ozon 28д,📊 Общая выручка 28д,🟣 Ср.выручка WB 28д,🔵 Ср.выручка Ozon 28д,📊 Ср.выручка общая 28д,🟣 Ср.доход WB / шт. 28д,🔵 Ср.доход Ozon / шт. 28д,🟣 Сумм.доход WB 28д,🔵 Сумм.доход Ozon 28д,📋 План закупок (14д на 30д),📋 План закупок (28д на 30д),💰 Стоимость закупки L1 (14д на 30д),💰 Стоимость закупки не L1 (14д на 30д),💰 Стоимость закупки L1 (28д на 30д),💰 Стоимость закупки не L1 (28д на 30д),📦 Приедут L1,📦 Приедут NoL,📊 Расчетный (14д на 30д),📊 Расчетный (28д на 30д),💰 Капитализация склада,💰 Себестоимость склада,📈 Индекс склада (14д),📈 Индекс капитализации,📈 Коэф.доходности,🏷️ Ярлыки,🟣 Динамика WB,🔵 Динамика Ozon,📊 Динамика общая,🟣 Доля WB 28д,🔵 Доля Ozon 28д,🟣 Выкупы WB,🔵 Выкупы Ozon,📊 Выкупы общие,🏢 Центральные склады,🏢 ТОП-3 склады,🟣📦 Остатки Центральный,🟣📦 Остатки Южный + Северо-Кавказский,🟣📦 Остатки Северо-Западный,🟣📦 Остатки Приволжский,🟣📦 Остатки Уральский,🟣📦 Остатки Дальневосточный + Сибирский,"🔵📦 Остатки Москва, МО и Дальние регионы",🔵📦 Остатки Санкт-Петербург и СЗО,🔵📦 Остатки Ростов,🔵📦 Остатки Казань,🔵📦 Остатки Новосибирск,🔵📦 Остатки Краснодар,🔵📦 Остатки Воронеж,🔵📦 Остатки Самара
460,2037774221667,DSS,Сережки «Осьминоги»,Серьги,—,Зол,Да,782,D302,D301DSR116,Пусто,2,0,1,3,1,1,1,0,0,0,1,1,1,0,0,0,4 782,0,4 782,4 782,0,4 782,978,0,978,0,0,1,0,0,0,0,0,0,0,0,10 346,2 346,3,"2,16","1,26","LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🔴,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,2037774221834,DSS,Сережки «Пауки»,Серьги,—,Зол,Да,366,D303,D301DSR117,Пусто,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,2 069,0,2 069,2 069,0,2 069,339,0,339,0,0,-1,1 830,0,2 196,0,0,0,5,6,0,0,0,0,"1,2","LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🔴,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,2031940790629,DSS,Сережки «Пёрышки»,Серьги,—,Зол,Да,342,D177,D115DSR036,Пусто,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1 772,0,1 772,1 772,0,1 772,247,0,247,0,0,-1,1 710,0,2 052,0,0,0,5,6,0,0,0,0,"1,16","LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🔴,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,2043836135926,MSH,Сережки «Роксана»,Серьги,—,Зол,Нет,355,MSH-095,MSH-095,403343970,2,9,2,13,0,0,0,0,1,1,0,1,1,0,0,0,0,1 693,1 693,0,1 693,1 693,0,16,0,16,2,2,0,0,0,0,0,0,0,0,7 291,4 615,13,"4,31","1,01","LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟢,🟡,4,3,2,0,0,0,1,0,0,0,0,0,0,0
514,2038819575905,MSH,Сережки «Скелеты»,Серьги,—,Сер,Нет,121,MSH-023,MSH-023,183317065,4,1,2,7,0,0,0,1,1,1,1,1,1,0,1,100,0,1 347,1 347,0,1 347,1 347,0,139,0,139,4,4,0,0,0,0,0,0,0,0,3 299,847,7,"2,45","1,12","LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟡,🔴,0,0,1,0,0,0,2,0,0,0,0,0,0,0
530,2036726429052,DSS,Сережки «Фараон»,Серьги,—,Зол,Да,"439,2",D202,D202DSR052,Пусто,11,0,0,11,0,1,1,0,0,0,0,1,1,1,0,0,2 465,0,2 465,2 465,0,2 465,419,0,419,0,11,10,0,0,0,0,0,0,0,0,27 115,4 831,11,11,"1,21","LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🔴,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541,2038959947297,DSS,Сережки «Цветы»,Серьги,—,Сер,Да,1782,D235-S,D115DSR123-S,Пусто,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,4 505,0,4 505,4 505,0,4 505,-130,0,-130,0,0,-1,8 910,0,10 692,0,0,0,5,6,0,0,0,0,"0,97","LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🔴,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546,2039500932823,MSH,Сережки «Черная луна»,Серьги,—,Сер,Нет,253,MSHK-057,MSHK-057,209854807,0,9,1,10,0,1,1,0,0,0,0,1,1,1,0,0,1 277,0,1 277,1 277,0,1 277,144,0,144,0,0,0,0,0,0,0,0,0,0,0,11 746,2 530,10,"9,2","1,13","LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟡,🟡,0,3,2,2,2,0,1,0,0,0,0,0,0,0
548,2039500932632,MSH,Сережки «Эва»,Серьги,—,Зол,Нет,250,MSHK-034,MSHK-034,209854787,13,1,1,15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,3 750,3 750,15,0,0,"LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🟡,0,1,0,0,0,0,0,1,0,0,0,0,0,0
551,2039500932816,MSH,Сережки «Эмма»,Серьги,—,Сер,Нет,194,MSHK-056,MSHK-056,209854806,0,12,0,12,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 358,0,1 358,0,0,7,7,2 328,2 328,12,0,0,"LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟡,🟡,9,1,1,1,0,0,0,0,0,0,0,0,0,0
