ID,Штрихкод,Бренд,Название,Категория,Размер,Цвет,L1,💰 Стоимость,🔵 Артикул Ozon,🟣 Артикул WB,🟣 nm_id,🟡 Остаток сайт (101 / 240),🟣 Остаток WB (132 / 161 / 240),🔵 Остаток Ozon (94 / 146 / 240),📊 Общий остаток,🟣 Заказы WB 14д,🟣 Заказы WB 28д,🟣 Заказы WB 40д,🔵 Заказы Ozon 14д,🔵 Заказы Ozon 28д,🔵 Заказы Ozon 40д,📊 Всего заказов 14д,📊 Всего заказов 28д,📊 Всего заказов 40д,🟣 Выкупы WB 14д (T-21..-7),🔵 Выкупы Ozon 14д (T-21..-7),📊 % выкупа 14д,🟣 Выручка WB 28д,🔵 Выручка Ozon 28д,📊 Общая выручка 28д,🟣 Ср.выручка WB 28д,🔵 Ср.выручка Ozon 28д,📊 Ср.выручка общая 28д,🟣 Ср.доход WB / шт. 28д,🔵 Ср.доход Ozon / шт. 28д,🟣 Сумм.доход WB 28д,🔵 Сумм.доход Ozon 28д,📋 План закупок (14д на 30д),📋 План закупок (28д на 30д),💰 Стоимость закупки L1 (14д на 30д),💰 Стоимость закупки не L1 (14д на 30д),💰 Стоимость закупки L1 (28д на 30д),💰 Стоимость закупки не L1 (28д на 30д),📦 Приедут L1,📦 Приедут NoL,📊 Расчетный (14д на 30д),📊 Расчетный (28д на 30д),💰 Капитализация склада,💰 Себестоимость склада,📈 Индекс склада (14д),📈 Индекс капитализации,📈 Коэф.доходности,🏷️ Ярлыки,🟣 Динамика WB,🔵 Динамика Ozon,📊 Динамика общая,🟣 Доля WB 28д,🔵 Доля Ozon 28д,🟣 Выкупы WB,🔵 Выкупы Ozon,📊 Выкупы общие,🏢 Центральные склады,🏢 ТОП-3 склады,🟣📦 Остатки Центральный,🟣📦 Остатки Южный + Северо-Кавказский,🟣📦 Остатки Северо-Западный,🟣📦 Остатки Приволжский,🟣📦 Остатки Уральский,🟣📦 Остатки Дальневосточный + Сибирский,"🔵📦 Остатки Москва, МО и Дальние регионы",🔵📦 Остатки Санкт-Петербург и СЗО,🔵📦 Остатки Ростов,🔵📦 Остатки Казань,🔵📦 Остатки Новосибирск,🔵📦 Остатки Краснодар,🔵📦 Остатки Воронеж,🔵📦 Остатки Самара
270,2043834044190,DSS,Сережки «Афина»,Серьги,—,Зол,Нет,200,D512,D512,403160030,0,8,7,15,0,1,2,0,0,0,0,1,2,0,0,0,2 079,0,2 079,2 079,0,2 079,509,0,509,0,0,0,0,0,0,0,0,0,0,0,18 032,3 000,15,"8,67","1,32","LST,⚡️FBO",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟢,🟢,5,2,1,0,0,0,3,2,2,0,0,0,0,0
284,2042109249162,MSH,Сережки «Бланка»,Серьги,—,Сер,Нет,255,MSH-080,MSH-080,295478629,6,0,1,7,1,1,2,0,0,0,1,1,2,0,0,0,1 206,0,1 206,1 206,0,1 206,114,0,114,0,4,5,0,0,0,0,0,0,0,0,7 491,1 785,7,"6,21","1,1","LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🔴,0,0,0,0,0,0,0,0,1,0,0,0,0,0
305,2039500932663,MSH,Сережки «Габриэль»,Серьги,—,Зол,Нет,355,MSHK-037,MSHK-037,209854790,0,7,8,15,0,1,1,1,1,1,1,2,2,1,0,100,782,1 870,2 652,782,1 870,1 326,-151,73,-151,73,0,0,0,0,0,0,0,0,0,0,20 434,5 325,15,"7,71","0,97","LST,⚡️FBO",⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟡,🟢,🟡,2,3,1,0,1,0,5,0,0,0,1,0,1,0
309,2042930623759,DSS,Сережки «Глаза»,Серьги,—,Зол,Да,519,D493,D493,336305248,0,4,1,5,0,0,0,0,1,2,0,1,2,0,0,0,0,3 960,3 960,0,3 960,3 960,0,580,0,580,0,0,0,0,0,0,0,0,0,0,6 036,2 595,5,"1,52","1,17","LST,⚡️FBO",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟢,🔴,4,0,0,0,0,0,1,0,0,0,0,0,0,0
313,2038819575707,MSH,Сережки «Дана»,Серьги,—,Зол,Нет,244,MSH-003,MSH-003,183317045,10,1,1,12,0,1,2,0,0,0,0,1,2,1,0,0,1 881,0,1 881,1 881,0,1 881,388,0,388,0,10,10,0,0,0,0,0,0,0,0,20 935,2 928,12,"11,13","1,26","LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🔴,0,0,0,1,0,0,0,0,0,0,0,0,0,1
329,2038819575691,MSH,Сережки «Египетские скарабеи»,Серьги,—,Зол,Нет,170,MSH-002,MSH-002,183317049,13,0,5,18,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,3 060,3 060,18,0,0,"LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟡,🔴,0,0,0,0,0,0,1,0,0,0,0,3,0,0
344,2038193955324,DSS,Сережки «Звездочки»,Серьги,—,Зол,Да,468,D360,D215DSR136,170044176,2,2,3,7,0,1,1,0,0,1,0,1,2,1,0,0,2 138,0,2 138,2 138,0,2 138,263,0,263,0,2,2,0,0,0,0,0,0,0,0,9 956,3 276,7,"4,66","1,14","LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🔴,0,0,0,0,1,0,0,1,0,0,0,0,0,1
347,2038959949420,DSS,Сережки «Змеи»,Серьги,—,Сер,Да,1030,D232-S,D202DSR069-S,188987496,0,4,1,5,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,💤,💤,5 150,5 150,5,0,0,"LST,⚡️FBO,SLEEP",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🔴,0,4,0,0,0,0,0,0,0,0,0,0,1,0
353,2039500932700,MSH,Сережки «Зои»,Серьги,—,Зол,Нет,381,MSHK-045,MSHK-045,209854795,2,7,7,16,1,1,1,0,1,1,1,2,2,0,0,0,1 733,1 822,3 555,1 733,1 822,1 778,193,32,193,32,2,2,0,0,0,0,0,0,0,0,28 351,6 096,16,"7,97","1,07","LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟡,🟡,1,4,1,0,0,0,0,1,0,0,0,4,1,0
369,2043835074134,DSS,Сережки «Камилла»,Серьги,—,Зол,Да,514,D535,D535,403253748,0,2,7,9,1,1,1,1,1,1,2,2,2,0,0,0,1 670,3 037,4 707,1 670,3 037,2 354,35,289,35,289,0,0,0,0,0,0,0,0,0,0,24 599,4 626,4,"5,23","1,07","LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟢,🔴,2,0,0,0,0,0,3,1,0,0,0,1,0,1
392,2038193968690,DSS,Сережки «Кэрри»,Серьги,—,Зол,Да,502,D364,D115DSR140,170044779,0,2,6,8,1,2,2,0,0,0,1,2,2,1,0,100,4 594,0,4 594,2 297,0,2 297,291,0,583,0,0,0,0,0,0,0,0,0,0,0,7 606,4 016,8,"1,66","1,15","LST,⚡️FBO",⚪,⚪,⚪,⚪,⚪,🟡,⚪,🟡,🟢,🔴,2,0,0,0,0,0,4,2,0,0,0,0,0,0
394,2039566343533,DSS,Сережки «Ландыши»,Серьги,—,Зол,Да,306,D472,DSR472,212774191,8,1,0,9,1,1,2,0,0,0,1,1,2,0,0,0,1 249,0,1 249,1 249,0,1 249,80,0,80,0,7,8,0,0,0,0,0,0,0,0,11 241,2 754,9,9,"1,07","LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟡,🔴,1,0,0,0,0,0,0,0,0,0,0,0,0,0
396,2038193956406,DSS,Сережки «Ласковое солнце»,Серьги,—,Зол,Да,698,D361,D215DSR137,170044177,0,0,0,0,0,2,2,0,0,0,0,2,2,1,0,0,5 544,0,5 544,2 772,0,2 772,280,0,560,0,0,-2,0,0,0,0,0,0,💤,💤,0,0,0,0,"1,11","LST,🏠FBS,SLEEP",⚪,⚪,⚪,⚪,⚪,🟡,⚪,🟡,🔴,🔴,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,2037549228273,DSS,Сережки «Листики»,Серьги,—,Зол,Нет,50,D274,D216DSR099,149579135,5,13,14,32,2,2,2,0,0,0,2,2,2,0,0,0,2 258,0,2 258,1 129,0,1 129,289,0,578,0,5,5,0,0,0,0,0,0,0,0,21 022,1 600,16,"9,31","1,34",⚡️FBO,⚪,⚪,⚪,⚪,⚪,🟡,⚪,🟡,🟢,🟢,6,4,3,0,0,0,6,4,3,0,0,0,0,0
430,2042109168753,MSH,Сережки «Матильда»,Серьги,—,Зол,Нет,315,MSH-073,MSH-073,295472770,0,11,7,18,1,1,1,0,1,1,1,2,2,1,0,100,1 890,1 782,3 672,1 890,1 782,1 836,320,85,320,85,0,0,0,0,0,0,0,0,0,0,33 264,5 670,18,"9,06","1,12","LST,⚡️FBO",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟢,🟢,7,1,2,1,0,0,5,1,1,0,0,0,0,0
436,2028891454625,DSS,Сережки «Монеты Будда»,Серьги,—,Зол,Да,552,D160,D115DSR027,75214861,1,1,2,4,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2 208,2 208,4,0,0,"LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟡,🔴,1,0,0,0,0,0,0,0,1,0,0,0,0,0
445,2043835141225,DSS,Сережки «Муза и сосуд»,Серьги,—,Зол,Да,600,D539,D539,403253750,1,2,4,7,0,0,0,2,2,2,2,2,2,0,0,0,0,7 326,7 326,0,3 663,3 663,0,404,0,808,1,1,0,0,0,0,0,0,0,0,16 452,4 200,4,"2,25","1,12","LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,🟡,🟡,🟢,🟡,1,0,1,0,0,0,3,1,0,0,0,0,0,0
454,2036693190412,DSS,Сережки «Ника»,Серьги,—,Сер,Нет,280,D196,D193DSR047,91484393,0,4,3,7,0,0,0,1,2,2,1,2,2,0,0,0,0,2 772,2 772,0,1 386,1 386,0,-7,0,-14,0,0,0,0,0,0,0,0,0,0,5 278,1 960,7,"1,9","0,99","LST,⚡️FBO",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟢,🔴,4,0,0,0,0,0,3,0,0,0,0,0,0,0
460,2037774221667,DSS,Сережки «Осьминоги»,Серьги,—,Зол,Да,782,D302,D301DSR116,163715536,1,0,1,2,2,2,2,0,0,0,2,2,2,0,0,0,8 076,0,8 076,4 038,0,4 038,688,0,1 377,0,-3,-1,2 346,0,782,0,0,0,3,1,4 820,1 564,1,"0,6","1,21","LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🔴,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,2043836063991,MSH,Сережки «Ривьера»,Серьги,—,Зол,Нет,215,MSH-093,MSH-093,403343968,1,1,1,3,1,1,2,0,0,0,1,1,2,0,0,0,1 611,0,1 611,1 611,0,1 611,312,0,312,0,0,1,0,0,0,0,0,0,0,0,3 437,645,3,"2,13","1,24","LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🔴,0,0,0,0,1,0,0,0,0,0,0,0,0,0
490,2043836135926,MSH,Сережки «Роксана»,Серьги,—,Зол,Нет,355,MSH-095,MSH-095,403343970,2,8,2,12,1,1,1,0,0,1,1,1,2,0,0,0,1 556,0,1 556,1 556,0,1 556,150,0,150,0,2,2,0,0,0,0,0,0,0,0,16 270,4 260,12,"10,46","1,11","LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟢,🟡,3,3,2,0,0,0,1,0,0,0,0,0,0,0
